clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	Streptococcus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	0.0314218375	0.1743555	0.0097616	0.1743555	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	Streptococcus_mitis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_mitis	0.0013607	NA	0.0013607	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis|t__SGB8168_group	Streptococcus_mitis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_mitis	0.0013607	NA	0.0013607	NA	1	NA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	Streptococcus_thermophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_thermophilus	0.035716285714285714	0.1743555	0.0164943	0.1743555	1	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__SGB8002	Streptococcus_thermophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_thermophilus	0.035716285714285714	0.1743555	0.0164943	0.1743555	1	1
k__Bacteria|p__Ignavibacteriota	Ignavibacteriota	k__Bacteria	p__Ignavibacteriota	NA	NA	NA	NA	NA	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Ignavibacteriota|c__CFGB24900	CFGB24900	k__Bacteria	p__Ignavibacteriota	c__CFGB24900	NA	NA	NA	NA	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Ignavibacteriota|c__CFGB24900|o__OFGB24900	OFGB24900	k__Bacteria	p__Ignavibacteriota	c__CFGB24900	o__OFGB24900	NA	NA	NA	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Ignavibacteriota|c__CFGB24900|o__OFGB24900|f__FGB24900	FGB24900	k__Bacteria	p__Ignavibacteriota	c__CFGB24900	o__OFGB24900	f__FGB24900	NA	NA	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Ignavibacteriota|c__CFGB24900|o__OFGB24900|f__FGB24900|g__GGB75387	GGB75387	k__Bacteria	p__Ignavibacteriota	c__CFGB24900	o__OFGB24900	f__FGB24900	g__GGB75387	NA	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Ignavibacteriota|c__CFGB24900|o__OFGB24900|f__FGB24900|g__GGB75387|s__GGB75387_SGB36810	GGB75387_SGB36810	k__Bacteria	p__Ignavibacteriota	c__CFGB24900	o__OFGB24900	f__FGB24900	g__GGB75387	s__GGB75387_SGB36810	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Ignavibacteriota|c__CFGB24900|o__OFGB24900|f__FGB24900|g__GGB75387|s__GGB75387_SGB36810|t__SGB36810	GGB75387_SGB36810	k__Bacteria	p__Ignavibacteriota	c__CFGB24900	o__OFGB24900	f__FGB24900	g__GGB75387	s__GGB75387_SGB36810	0.3605937	NA	0.3605937	NA	1	NA
k__Bacteria|p__Pseudomonadota	Pseudomonadota	k__Bacteria	p__Pseudomonadota	NA	NA	NA	NA	NA	0.16903993333333334	0.11932222	0.0846732	0.08072775	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	Alphaproteobacteria	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	NA	NA	NA	NA	0.09070552727272727	0.0691273090909091	0.0055434	0.0195231	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales	Acetobacterales	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	NA	NA	NA	0.004116	NA	0.004116	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae	Roseomonadaceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Roseomonadaceae	NA	NA	0.004116	NA	0.004116	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae|g__Roseomonas	Roseomonas	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Roseomonadaceae	g__Roseomonas	NA	0.004116	NA	0.004116	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae|g__Roseomonas|s__Roseomonas_mucosa	Roseomonas_mucosa	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Roseomonadaceae	g__Roseomonas	s__Roseomonas_mucosa	0.004116	NA	0.004116	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Roseomonadaceae|g__Roseomonas|s__Roseomonas_mucosa|t__SGB11236	Roseomonas_mucosa	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Roseomonadaceae	g__Roseomonas	s__Roseomonas_mucosa	0.004116	NA	0.004116	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	Caulobacterales	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	NA	NA	NA	2.541e-4	0.0019291	2.541e-4	0.0019291	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	Caulobacteraceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	NA	NA	2.541e-4	0.0019291	2.541e-4	0.0019291	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__GGB131523	GGB131523	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__GGB131523	NA	2.541e-4	0.0019291	2.541e-4	0.0019291	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__GGB131523|s__GGB131523_SGB56800	GGB131523_SGB56800	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__GGB131523	s__GGB131523_SGB56800	2.541e-4	0.0019291	2.541e-4	0.0019291	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__GGB131523|s__GGB131523_SGB56800|t__SGB56800	GGB131523_SGB56800	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__GGB131523	s__GGB131523_SGB56800	2.541e-4	0.0019291	2.541e-4	0.0019291	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	Hyphomicrobiales	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	NA	NA	NA	0.10643597777777777	0.07443512999999999	0.0055434	0.01827675	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Hyphomicrobiales_unclassified	NA	NA	NA	0.0159574	NA	0.0159574	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Hyphomicrobiales_unclassified	g__Hyphomicrobiales_unclassified	NA	NA	0.0159574	NA	0.0159574	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium	Hyphomicrobiales_bacterium	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Hyphomicrobiales_unclassified	g__Hyphomicrobiales_unclassified	s__Hyphomicrobiales_bacterium	NA	0.0159574	NA	0.0159574	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11097	Hyphomicrobiales_bacterium	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Hyphomicrobiales_unclassified	g__Hyphomicrobiales_unclassified	s__Hyphomicrobiales_bacterium	NA	0.0159574	NA	0.0159574	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	Methylobacteriaceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Methylobacteriaceae	NA	NA	0.0028596000000000003	6.986e-4	0.0028596000000000003	6.986e-4	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium	Methylobacterium	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Methylobacteriaceae	g__Methylobacterium	NA	0.0028596000000000003	6.986e-4	0.0028596000000000003	6.986e-4	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_fujisawaense	Methylobacterium_fujisawaense	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Methylobacteriaceae	g__Methylobacterium	s__Methylobacterium_fujisawaense	0.0028596000000000003	6.986e-4	0.0028596000000000003	6.986e-4	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_fujisawaense|t__SGB11384	Methylobacterium_fujisawaense	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Methylobacteriaceae	g__Methylobacterium	s__Methylobacterium_fujisawaense	0.0028596000000000003	6.986e-4	0.0028596000000000003	6.986e-4	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae	Nitrobacteraceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	NA	NA	0.13586594285714287	0.0907404625	0.0188952	0.0436622	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium	Bradyrhizobium	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	NA	0.12839576666666666	0.11315694	0.1757026	0.0678013	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_SGB11337	Bradyrhizobium_SGB11337	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_SGB11337	0.12839576666666666	0.11315694	0.1757026	0.0678013	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_SGB11337|t__SGB11337	Bradyrhizobium_SGB11337	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_SGB11337	0.12839576666666666	0.11315694	0.1757026	0.0678013	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Rhodopseudomonas	Rhodopseudomonas	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Rhodopseudomonas	NA	0.141468575	0.053379666666666666	0.009613400000000001	0.0195231	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris	Rhodopseudomonas_palustris	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Rhodopseudomonas	s__Rhodopseudomonas_palustris	0.141468575	0.053379666666666666	0.009613400000000001	0.0195231	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris|t__SGB11283	Rhodopseudomonas_palustris	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Rhodopseudomonas	s__Rhodopseudomonas_palustris	0.141468575	0.053379666666666666	0.009613400000000001	0.0195231	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	Rhizobiaceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	NA	NA	0.001143	0.001073	0.001143	0.001073	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB7580	GGB7580	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__GGB7580	NA	0.001143	0.001073	0.001143	0.001073	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB7580|s__GGB7580_SGB11074	GGB7580_SGB11074	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__GGB7580	s__GGB7580_SGB11074	0.001143	0.001073	0.001143	0.001073	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__GGB7580|s__GGB7580_SGB11074|t__SGB11074	GGB7580_SGB11074	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__GGB7580	s__GGB7580_SGB11074	0.001143	0.001073	0.001143	0.001073	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales	Rhodobacterales	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	NA	NA	NA	0.0354669	NA	0.0354669	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae	Paracoccaceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	NA	NA	0.0354669	NA	0.0354669	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus	Paracoccus	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	NA	0.0354669	NA	0.0354669	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus|s__Paracoccus_aeridis	Paracoccus_aeridis	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccus_aeridis	0.0354669	NA	0.0354669	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus|s__Paracoccus_aeridis|t__SGB90459	Paracoccus_aeridis	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Paracoccaceae	g__Paracoccus	s__Paracoccus_aeridis	0.0354669	NA	0.0354669	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	Sphingomonadales	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	NA	NA	NA	NA	0.01412	NA	0.01412	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	Sphingomonadaceae	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	NA	NA	NA	0.01412	NA	0.01412	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	Sphingomonas	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	NA	NA	0.01412	NA	0.01412	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_aerolata	Sphingomonas_aerolata	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_aerolata	NA	0.0024728	NA	0.0024728	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_aerolata|t__SGB11652	Sphingomonas_aerolata	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_aerolata	NA	0.0024728	NA	0.0024728	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_CFBP_8760	Sphingomonas_sp_CFBP_8760	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_sp_CFBP_8760	NA	0.0116472	NA	0.0116472	NA	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_sp_CFBP_8760|t__SGB90173	Sphingomonas_sp_CFBP_8760	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas_sp_CFBP_8760	NA	0.0116472	NA	0.0116472	NA	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	Betaproteobacteria	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	NA	NA	NA	NA	0.006072614285714286	0.00264005	0.0045519	0.0013196	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	Burkholderiales	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	NA	NA	NA	0.006072614285714286	0.00264005	0.0045519	0.0013196	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	Burkholderiales_unclassified	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiales_unclassified	NA	NA	0.011950099999999998	0.00163145	0.011950099999999998	0.0013196	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Tepidimonas	Tepidimonas	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiales_unclassified	g__Tepidimonas	NA	0.011950099999999998	0.00163145	0.011950099999999998	0.0013196	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Tepidimonas|s__Tepidimonas_fonticaldi	Tepidimonas_fonticaldi	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiales_unclassified	g__Tepidimonas	s__Tepidimonas_fonticaldi	0.011950099999999998	0.00163145	0.011950099999999998	0.0013196	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Tepidimonas|s__Tepidimonas_fonticaldi|t__SGB12671	Tepidimonas_fonticaldi	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiales_unclassified	g__Tepidimonas	s__Tepidimonas_fonticaldi	0.011950099999999998	0.00163145	0.011950099999999998	0.0013196	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	Comamonadaceae	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	NA	NA	0.0083037	NA	0.0083037	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Lampropedia	Lampropedia	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Lampropedia	NA	0.0083037	NA	0.0083037	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Lampropedia|s__Lampropedia_cohaerens	Lampropedia_cohaerens	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Lampropedia	s__Lampropedia_cohaerens	0.0083037	NA	0.0083037	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Lampropedia|s__Lampropedia_cohaerens|t__SGB13102	Lampropedia_cohaerens	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Lampropedia	s__Lampropedia_cohaerens	0.0083037	NA	0.0083037	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	Oxalobacteraceae	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	NA	NA	0.0011851	NA	0.0011851	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum	Herbaspirillum	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	NA	0.0011851	NA	0.0011851	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_sp_SJZ107	Herbaspirillum_sp_SJZ107	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__Herbaspirillum_sp_SJZ107	0.0011851	NA	0.0011851	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Herbaspirillum|s__Herbaspirillum_sp_SJZ107|t__SGB179476	Herbaspirillum_sp_SJZ107	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__Herbaspirillum_sp_SJZ107	0.0011851	NA	0.0011851	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae	Sphaerotilaceae	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	NA	NA	0.0022798000000000002	0.00465725	0.0021187	0.00465725	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Caldimonas	Caldimonas	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	NA	0.0021187	0.00465725	0.0021187	0.00465725	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Caldimonas|s__Schlegelella_aquatica	Schlegelella_aquatica	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Schlegelella_aquatica	0.0021187	0.00465725	0.0021187	0.00465725	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Caldimonas|s__Schlegelella_aquatica|t__SGB93705	Schlegelella_aquatica	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Schlegelella_aquatica	0.0021187	0.00465725	0.0021187	0.00465725	1	1
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Roseateles	Roseateles	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles	NA	0.0024409	NA	0.0024409	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Roseateles|s__Pelomonas_aquatica	Pelomonas_aquatica	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles	s__Pelomonas_aquatica	0.0024409	NA	0.0024409	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Roseateles|s__Pelomonas_aquatica|t__SGB178303	Pelomonas_aquatica	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles	s__Pelomonas_aquatica	0.0024409	NA	0.0024409	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__CFGB2546	CFGB2546	k__Bacteria	p__Pseudomonadota	c__CFGB2546	NA	NA	NA	NA	0.0326266	NA	0.0326266	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__CFGB2546|o__OFGB2546	OFGB2546	k__Bacteria	p__Pseudomonadota	c__CFGB2546	o__OFGB2546	NA	NA	NA	0.0326266	NA	0.0326266	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__CFGB2546|o__OFGB2546|f__FGB2546	FGB2546	k__Bacteria	p__Pseudomonadota	c__CFGB2546	o__OFGB2546	f__FGB2546	NA	NA	0.0326266	NA	0.0326266	NA	1	NA
k__Bacteria|p__Pseudomonadota|c__CFGB2546|o__OFGB2546|f__FGB2546|g__GGB7511	GGB7511	k__Bacteria	p__Pseudomonadota	c__CFGB2546	o__OFGB2546	f__FGB2546	g__GGB7511	NA	0.0326266	NA	0.0326266	NA	1	NA
