clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__GGB42949	GGB42949	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__GGB42949	NA	NA	0.845713	NA	0.845713	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB60172	GGB42949_SGB60172	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__GGB42949	s__GGB42949_SGB60172	NA	0.845713	NA	0.845713	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB60172|t__SGB60172	GGB42949_SGB60172	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__GGB42949	s__GGB42949_SGB60172	NA	0.845713	NA	0.845713	NA	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria	Kocuria	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	NA	0.07689114545454546	0.029635454545454545	0.0158289	0.0091491	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_carniphila	Kocuria_carniphila	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__Kocuria_carniphila	0.004118933333333333	NA	0.0029261	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_carniphila|t__SGB16672	Kocuria_carniphila	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__Kocuria_carniphila	0.004118933333333333	NA	0.0029261	NA	1	NA
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_palustris	Kocuria_palustris	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__Kocuria_palustris	0.014652433333333334	0.006189385714285714	0.0094828	0.0025394	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_palustris|t__SGB16663	Kocuria_palustris	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__Kocuria_palustris	0.014652433333333334	0.006189385714285714	0.0094828	0.0025394	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila	Kocuria_rhizophila	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__Kocuria_rhizophila	0.0717717	0.02569678181818182	0.0158289	0.007054	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Kocuria|s__Kocuria_rhizophila|t__SGB16671	Kocuria_rhizophila	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__Kocuria_rhizophila	0.0717717	0.02569678181818182	0.0158289	0.007054	1	1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Micrococcus	Micrococcus	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	NA	0.00828605	0.0044624999999999995	0.00828605	0.0048055	1	1
